comment,label
sentuh yang bukan mahram saja sudah salah,0
pasti jawa bagi tengah,1
lempar saja sekali pakai gas kg bang nanti juga pintar,0
dih jawa jawa,1
sekte gondrong <EMOJI_MOAI>,1
ini di mana tolong di jawa,1
biar apa itu,0
tidak semua jawa seperti itu ya teman teman,0
naudzubillahi mindzaliq rasa jadi tuhan kah <EMOJI_LOUDLY_CRYING_FACE> ya allah jauhkam saya dan anak cucu turun ku dari buat musyrik syirik amin,0
tipikal sdm indonesia mah begini rada rada semua wkwk,1
biar berkah kata,0
bisa nya mau seperti begitu <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
ini negara apasih <EMOJI_LOUDLY_CRYING_FACE>,0
bau hampir sama seperti orang vrindavan pasti awokwwko,1
vrindavan jatim hama,1
keranjang kuning mana,0
seperti di vrindavan,1
kok di jawa masih banyak yang seperti begini,1
orang abuya saja tidak seperti ini,0
jual apa yang tidak ada rugi ya jual agama,0
di emut juga skalian,0
jawa van java,1
beda laku antara perempuan dan laki laki,0
<EMOJI_FACE_WITH_TEARS_OF_JOY> deh lah kiamat saja tuhan,0
lah trend di pulau jawa,1
pasti orang jawa,1
sudah tau kan tempat jamet mana,1
kok makin stres orang <EMOJI_LOUDLY_CRYING_FACE>,0
gondrong model begini kalau kagak nyopet ya cabul,0
apa itu anjir wkwk,0
dia siapa lagi sih <EMOJI_LOUDLY_CRYING_FACE>,0
memang aneh di sana,0
tebak daerah,1
biasa sunda mah salah jawa terus,1
gus miftah mending callout nih orang,0
nabi muhammad datang untuk beri cerah agar tidak kultus manusia,0
alay alay,0
miris sekali lihat seperti tidak pernah ajar agama,0
goblok sangat <EMOJI_MOAI>,0
sakit jawa sebar hama,1
supaya apa sih bang <EMOJI_LOUDLY_CRYING_FACE> <EMOJI_LOUDLY_CRYING_FACE>,0
capek lihat laku tolol para jawir,1
pasien lanjut <EMOJI_MOAI>,0
seperti nyembah wkwk,0
capek sangat lihat sdm jawa,1
sdm seperti begini hanya ada di jawa,1
orang orang pada kenapa sih <EMOJI_LOUDLY_CRYING_FACE>,0
orang jawa panutan nya aneh aneh <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
vrindavan jalur,1
apa apa ini,0
bang nih konsep bagaimana bang,0
delete jawa,1
sesat oh sesat wkwk,0
jual agama terus,0
haha jawa,1
jaman sekarang aneh orang nya,0
yesus kah ini mirip lho rambut,1
lah enak sangat itu klepaak,0
alhamdulillah saya lebih bangga di sebut wahabi penting saya masih waras,1
ini yang ternak cupang bukan sh,0
apa deh saya orang kalimantan miris lihat laku orang jawa seperti begini,1
apasih ini njirlah,0
lama lama seperti prindafan,1
di agama islam tidak ada seperti begini ini agama apa woy,1
bagaimana sih proses mereka bisa jual agama sampai banyak orang percaya begitu dan mau turut andil,0
ya allah ampun hamba semua ya allah <EMOJI_LIGHT_SKIN_TONE> <EMOJI_LIGHT_SKIN_TONE>,0
itu guru cewek apa cowok sih panjang amat rambut,0
tebak daerah saya kasih clue huruf depan saja,1
jawa,1
sudah tidak tolong jiwa hama orang jawa sudah terlalu kuat,1
kapai sih ini orang,0
akh cuih nu tukang bid ah,1
ngapa sih orang percaya bgtuan <EMOJI_LOUDLY_CRYING_FACE>,0
alhamdulillah lahir di sunda <EMOJI_FIRE>,1
tebak lokasi,1
tebak hama ayo di mana,1
dunia benar bneer tidak baik baik saja <EMOJI_CRYING_FACE>,0
ketika sdm rendah temu sdm rendah main gus gus an,0
ini mereka kapai astaga jawir tidak ada kerja ya,1
gilir ke cewek  emoji smiling face with heart-eyes  ke cowok <EMOJI_ENRAGED_FACE> <EMOJI_ENRAGED_FACE>,0
tebak daerah mana,1
jenglot percaya,0
aura dukun nya kental <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
tebak daerah <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
kini yang sesat sufi atau salaf yang biasa sebut wahabi,0
gondrong resah,0
tidak heran jawa,1
jawa oh jawa,1
emak lo noh cium kaki tangan nya bukan sih gondrong yang satu ini hadeh <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
nyembah patung ys kah,0
tebak pulau,1
padahal bau samsu lho <EMOJI_MOAI> <EMOJI_LOUDLY_CRYING_FACE>,0
beliau siapa,0
astaghfirullah akhir zaman,0
jawa nu,1
samsudin versi baru,0
anjay nyala pirangkuh <EMOJI_MOAI>,0
jawa bagi mana nih,1
sudah kalian hina jawa hari ini kalau belum sila ini tempat,1
jawa jawaw,1
tidak bosan bosan ngetawain orang hina jawa,1
astaga ini maksud bagaimana ya asa dulu mondok tahun tidak pernah ajar begini,0
sdm rendah,1
ini yang saya cerita itu yang,0
ini apa lagi <EMOJI_LOUDLY_CRYING_FACE> <EMOJI_LOUDLY_CRYING_FACE> <EMOJI_FACE_WITH_OPEN_MOUTH>,0
sudah seperti di india <EMOJI_MOAI> percaya orang indonesia,1
yang seperti begini harus di musnah juga,0
fix pasti jawa <EMOJI_MOAI>,1
tolong menteri agama tindak tegas yang begini sudah rajalela di jawa,1
pasti dijawa timur,1
raja apa nih,0
info pelet nya mbah,0
ini pasti di jawa <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
di kira ketua guild belah <EMOJI_MOAI>,1
urus itu kaum kamu,1
ini lagi tahun goblok sembah <EMOJI_FACE_WITH_TEARS_OF_JOY> lihat dari muka saja cabul,0
asa para wali songo tidak ada yang ajar begitu,0
ini sembah manusia mana ini,0
rambut panjang lebih bahu itu di larang karena tasyabbuh bin nisa terus di kalung dan pakai gelang itu di larang karena sama tsyabbuh bin nisa ini apa guru sama ikut nya sama sama tasyabbuh bin nisa,0
sudah saat hina jawa,1
beliau itu siapa,0
mirip seperti di india,1
pls teh saya masih panas tolong tiupin,0
kalau saya di geplak begitu tidak terima geplak balik walau pun dia tua tapi atitud di atas semua nya,0
paling benar jual agama <EMOJI_MOAI> <EMOJI_MOAI>,0
gondrong dikit orang soleh,0
fungsi di geplak dulu tuh biar dapat hidayah apa dapat sakit,0
biar ku tebak pasti jawa jawa jawa jawa jawa jawa dan jawa jawa jawa,1
efek apa bang,0
jawa kan ini,1
modal cuman niupin begitu bisa laris ya <EMOJI_LOUDLY_CRYING_FACE>,0
tidak heran jawa,1
tidak jawa tidak madura sama saja,1
untung di sumatra tidak ada umat seperti begini <EMOJI_MOAI>,1
yang jual agama begini laku keras,0
cium tangan ke dua orang tua berkah,0
agama makin jadi misteri,0
odgj pula di puja kan aneh,0
jenggut rambut,0
gondrong topi sihir,0
hanya apa ya betul hanya dijawa,1
dukun tidak sih,0
beda bentuk beda asa,0
nabi islam kah,1
patut lah di sana sering datang nya becana allahu,1
percuma lo minta doa gus an kalau masih lawan orang tua,0
jawa lagi jawa lagi memang unik ya kadang <EMOJI_BEAMING_FACE_WITH_SMILING_EYES> <EMOJI_GRINNING_SQUINTING_FACE>,1
feodalisme,0
jual agama jual agama hum enaak,0
gondrong ada ada saja laku nya <EMOJI_MOAI>,0
jawa vrindavan,1
yang baju hijau habis salam langsung mabuk <EMOJI_CRYING_FACE>,0
kenapa di sunda tidak ada gus tampleng gus <EMOJI_FIRE>,1
tiupin silit saya dong,0
jadi pengin pindah negara <EMOJI_CRYING_FACE>,0
biasa hanya di kono,1
sudah asa jadi dewa,0
jawa jahiliyah,1
tak perlu jadi islam untuk nyata hal ini salah,0
gondrong jual obat yang lain habis obat,0
alas saya malas ajar agama,0
kakek sedang pilih calon untuk di bibit <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
sudah baca ini daerah mana <EMOJI_FACE_WITH_TEARS_OF_JOY> <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
laku sangat yang begini di sonoh ya,1
jawa tolol,1
ini mah modus biar bisa itclik,0
sdm jawa sangat resah,1
ada saja gebrak <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
hangok surya aksi <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
jawa hama,1
moga mereka semua laknat,0
kok jadi aneh,0
keplak balik dong lanang kok begitu,0
suatu pulau indonesia,1
tebak ormas,1
gondrong berani,0
mending ngumpulin liur walet,0
dari jawa untuk jawa <EMOJI_MOAI> target pasar mereka ya wong jawa,1
pakenya shampo apa bang,0
singkat padat pasti jawa,1
tidak jauh beda sama vrindavan,1
pengin saya jambak,0
haha asik benar ya jual agama,0
saya lihat dengan mata saya,0
yang penting tidak cipok seperti belah,0
bagi cowok di hajar wkwk,0
apa sih apa sih,0
kok tidak sadar ya kalau digoblokin jawa jawa,1
makin sini makin jahiliah,0
sakti nya kalah sungokong kaya nih dia,0
bayang tidak kalau jawir itu negara,1
elus pipi ya ampun,0
masih saja di buta dengan hal seperti itu <EMOJI_MOAI>,0
apaansi sopan sangat njis,0
jadi pengin bikin sekte,0
tebak pulau,1
kepala di tabok bukan kepala itu di fitrahin ya,0
maksud saya orang jawa kalau goblok tolong jangan parah parah,1
jawa kan,1
saya jawa tapi tidak seperti begitu ya ges ya <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
anak orang itu pak jangan asal pukul saja <EMOJI_FACE_WITH_OPEN_MOUTH>,0
<EMOJI_FACE_WITH_TEARS_OF_JOY> bisa kena tipu <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
hadeh jawa lagi jawa lagi,1
ini mana india bang kok laku sama sama sesat begitu,1
sound gakepake kan itu saya lempar ya,0
hilang samsudin muncul yang baru <EMOJI_MOAI>,0
jawa memang beda,1
jawa,1
inisial mohon di jawa,1
lepek sangat rambut bang <EMOJI_CRYING_FACE>,0
lagi main agama agama,0
vrindavan series <EMOJI_MOAI>,1
seperti di india saja wkwk,1
hanya di jiwir,1
jawa hama tidak ada yang tidak hama,1
pasti pulau jawa,1
agama kok jadi begini ya <EMOJI_CRYING_FACE>,0
banyak benar yang ke begini puyeng,0
ada lagi saja hadeh,0
aura nye gelap benar <EMOJI_MOAI>,0
jawa ireng,1
aneh nya masih ada yang percaya,0
suku jual agama,1
ajar apa lagi ini,0
padahal islam larang begitu jir masih saja dilakuin,0
lihat doang bisa tau jir bau mirip india,1
anjing vrindavan,1
kedok agama,0
pasti jawa,1
asa gampang sangat ya di pulau jawa buat jadi habib dan ustad yang di segani bahkan di junjung tinggi seperti orang yang sangat istimewa di dunia,1
benar seperti india <EMOJI_MOAI>,1
pantesan negara kita tinggal dari negara lain <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
tebak provinsi please jawa,1
kurang nya iman yang dalam <EMOJI_CRYING_FACE> sdm sangat miris <EMOJI_MOAI>,0
disamain sama vrindavan pada tidak mau tapi laku sama <EMOJI_MOAI>,1
sudah pasti jatim,1
sama jaman seperti india coming soon bisa ubah ke indianesia nih,1
makin jelas semua islam yang sesuai nabi muahamad quran dan hadist akan kikis dan hilang,0
memang orang kampung gmpang di boongin <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
kaum iq,1
ini daerah mana tapi persis model kyai dari mana pula,1
india kah,1
kok seperti di india,1
memang paling jos kalau jual agama,0
laris benar ya sekarang jual agama,0
muhrim bukan,0
jual agama untung keras apalagi ke para jawir,1
mabok agama <EMOJI_MOAI> jual agama mulu heran saya,0
seperti begini di sunda juga banyak tidak sih,1
kasihan lihat,0
laris manis,0
spj sudah pasti jawa,1
sih india banyak kaua begini apa bisa bilang budaya nusantara yang begini bikin negara tidak maju lahir batin,0
laris sangat jual agama,0
sih cabul jual jigong saja sukses anjir,0
jual agama di jatim cuan gede,1
ter lalu ber lebih,1
ya allah jauh ini kah agama lenceng <EMOJI_CRYING_FACE>,0
kok mirip tahu belah,1
belum raja akhir sudah pada tunduk,0
ketika dukun tidak laku lagi akhir seperti begini,0
mirip vrindavan,1
acara apa nih bilang aji kok cowok sama cewek jadi satu <EMOJI_EYES>,0
kalau cewek di elus kalau cowok di kelepak <EMOJI_CRYING_FACE> <EMOJI_CRYING_FACE>,0
bau rokok samsu,0
makin banyak orang aneh dunia ini,0
bukan muhrim itu oy,0
apa ini sang mesias palsu lagi <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
bukan mondok yang benar malah mondok dan <EMOJI_CLAPPING_HANDS> <EMOJI_CLAPPING_HANDS>,0
gondrong doang kagak kramas,0
mana lokasi saya pengin mana saya pengin mana info lokasi saya pengin ikut  emoji smiling face with heart-eyes ,0
<EMOJI_MOAI> tanda akhir zaman,0
seperti begini laku sangat di jawa,1
suruh baca al ikhlas saja belum tentu bisa itu,0
entah dari pondok pesantren mana beliau ajar nih <EMOJI_MOAI>,0
zaman ahir bambang,0
makin miris islam sekarang,0
ini gambar vrindavan kalau vrindavan buka cabang,1
hama sangat deh jawa,1
pas suruh selesai soal kalkulus tunduk semua <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
ah sunda ini mah,1
ini mana please jawa,1
di jawa enak kali ya jual agama,1
maksud seperti mana woi <EMOJI_FACE_WITHOUT_MOUTH>,0
jawa pasti,1
madura,1
mabuk agama,1
hati hati mbake <EMOJI_FACE_WITH_TEARS_OF_JOY> <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
kadang manusia lebih percaya kepada manusia dan lupa dengan sang cipta,0
agama di jadi topeng,0
ini alir apa sih serius tanya,0
seperti nya hilang akal deh itu orang,0
nabi baru itu,0
tidak beda jauh sama india,1
kalau misal minta tolong tiupin kopi bisa kali ya,0
pasti di jawa sarang aneh sama sesat di situ soal,1
jawa jawa jawa,1
jawir kalau tidak dongo ya jahil <EMOJI_CRYING_FACE>,1
jawa main gus gus,1
jual paling laris di pulau jawa <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
potong rambut curiga bakal di lelang tuh wkwk,0
jawa biasa,1
agama baru lagi kah,0
ini tahun berapa ya,0
banyak benar yang begini sana,1
<EMOJI_FIRE> laris manis cuan,0
pasti jawa <EMOJI_MOAI>,1
pov sule ketika tidak mau lawak lagi,0
yang doyan koar jawa agama apa,1
islam,0
jawa jual agama,1
kiblat beda,0
jual ludah anjir mana laris lagi saya yang dagang sakit sakit ini apa cok,0
ini yang begini tidak di tangkap,0
alir opo iki rek hadeh <EMOJI_MOAI>,0
nu jawa agus kontol,1
ada ada saja ya laku jaman sekarang wkwk,0
memang jawa,1
mau salim juga kata,0
kalau tidak jatim ya jateng,1
ya sudah tidak usah dijelasin,0
jawa nu biasa,1
ludahin saja itu yang keplak kepala,0
ngajinya kurang jauh ngopi nya kurang kentel fc,0
miirp seperti user belah,1
untung saya tidak jawa,1
kok mandang fisik sih,0
ini sempat untuk hina sdm jawa jawa,1
masuk nista agama tidak sih,0
laku keras tuh jual gus an,0
saya asli jawa tapi ngene men padahal kan bukan muhrim e juoh ngene men jawa <EMOJI_LOUDLY_CRYING_FACE>,1
jawa adalah kunci,1
sdm minus <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
jawa kalau tidak ada islam seperti india seperti nya,1
aduh jawa lagi jawa lagi <EMOJI_MOAI>,1
oalah kok ada ikut ini ya,0
sdm rendah seperti begini tidak usah laden,0
memang tidak ada orang begitu satu pun banjur pakai kopi,0
apa sih <EMOJI_MOAI> ya allah tidak mau nebak tapi ini daerah jatim tidak sih <EMOJI_LOUDLY_CRYING_FACE> <EMOJI_LOUDLY_CRYING_FACE>,1
bakar halal <EMOJI_FIRE> <EMOJI_FIRE>,0
yang lebih heran para ikut <EMOJI_LOUDLY_CRYING_FACE>,0
dukun kedok agama nabi saja tidak pernah begitu,0
jba jual beli agama,0
stop habib habib an jawa,1
miris sekali sdm kita,0
memang hama jawa,1
makin gaberes saja <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
bisa tidak sih jawa tidak seperti begini,1
heran saya kenapa yang begini banyak dinjawa,1
bisa bisa nyium tangan bau samsu,0
tutor bisnis begini dong cara ngrintisnya bagaimana lumayan buat samping jual air doa,0
bau samsu tidak itu,0
bisnis paling untung,0
oalah jawa jawa,1
ajar sesat apa ini ikut ajar rasulullah bukan ikut ikut orang sebarang,0
yesus lokal <EMOJI_LOUDLY_CRYING_FACE>,1
jawa <EMOJI_MOAI>,1
padahal ini santri apa tidak bisa beda yang mana asli sama kagak,0
<EMOJI_MOAI> bang air putih bukan ya,0
pasti di jawa <EMOJI_LOUDLY_CRYING_FACE>,1
bisa bisa geplakin tidak ada yang marah,0
makin akhir jaman makin,0
pov ketika gen saja jadi gus <EMOJI_MOAI>,0
kalang bawah selalu,1
mau nya maksud apa,0
bolih tengok muka i bocah yang senang kene tipu,0
jual agama memang paling laris di negeri konoha,1
ini pasti tidak di jawa <EMOJI_LOUDLY_CRYING_FACE>,1
pesantren ku dulu sempat datang salah habib lah dan kita bondong bondong cium tangan kaki rebut makan bekas beliau dan saya sekarang malah makin tidak jelas telah dewasa <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
andai indonesia tidak ada jawa nya,1
mbah dukun baca mantra <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
jawa jamet,1
jawa ini sudah lah kgk usah di tutup ini,1
tiupin lahar gunung krakatau tolong,0
saya lutut chuih tidak akan,0
kok saya akak sih <EMOJI_LOUDLY_CRYING_FACE>,0
inisial pulau jawa,1
susah beda jawa sama vrindavan <EMOJI_MOAI>,1
tebak pulau tidak heran sama yang ada jawa nya,1
saya wakil orang jawa tidak semua jawa begitu ya gesya,0
lebih ngeri sama orang yang mabok agama daripada yang mabok amer euy,0
jawa norak kampung,1
ini lebih lucu dari pada adul <EMOJI_LOUDLY_CRYING_FACE>,0
tebak alir,0
model seperti ini pasti dari jawa,1
ada yang sukses tidak telah tahun ngamalin apa yang dia omong,0
hama di dalam agama <EMOJI_CRYING_FACE>,0
negeri ini makin aneh,0
yang seperti begini sudah jelas islam,1
padahal dia cuman buang upil nya doang tuh di air minum nya <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
antre minta nomor togel,0
nyata benar kalau sdm di konoha rendah,1
mirip ketua guild belah <EMOJI_LOUDLY_CRYING_FACE>,1
tiupin saya biar bisa langsung masuk syurga,0
agama nu memang seperti ini,1
suci sangat ya dia seperti nya,0
gakaget sdm indonesia gampang sangat di bodo ini,1
ikut pada waras tidak sih <EMOJI_LOUDLY_CRYING_FACE> ya allah,0
dia siapa sih seperti dukun bentuk,0
begini amat umat islam <EMOJI_MOAI>,1
orang tres di suruh ceramah <EMOJI_MOAI>,0
sangat jawa sekali,1
tidak beda jauh sama vrindavan ini mah tebak bau sih gondrong,1
kenapa pribumi masih banyak yang maaf be o begini astagfirullah miris,1
seperti begini masih tidak mau katai dasar jawa t lol,1
ibu sendiri saja belum tentu kali di cium tanyannya sama anak sendiri,0
jawa komtol,1
bego malah salim bukan nye jambak,0
itu kenapa didik itu penting <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
masuk ke nista tidak sih kalau seperti begini serius tanya,0
plis tiupin laptop saya biar pemrogramannya jalan,0
sdm rendah,1
jawa lagi saja,1
mau heran tapi jawir,1
level agama sudah stack tinggi,0
ira vrindavan doang <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
istiqfar om mana ada islam begini <EMOJI_MOAI>,0
sesat nih orang,0
sangat untung lahir dan ber agama bumi kalimantan <EMOJI_FIRE>,0
tebak apa tebak daerah,1
dukun keluar kamar <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
goblok sak wilayahe,1
itu orang siapa <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
aneh nya seperti begini menteri agama tidak ada turun tangan,0
bang sudah bang main habib habib <EMOJI_MOAI>,0
tidak kabib tidak pribumi ada saja laku seperti begini,1
tidak sesuai ajar islam,1
jangan hanya tatap pegang pun saya tak berani <EMOJI_MOAI> kenapa,0
najis lihat laku jawir,1
begini sangat cari duit <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
kok bisa lepas dari rsj <EMOJI_MOAI>,0
tebak hayo tebak asal dari mana <EMOJI_MOAI>,1
ludah ada resep,0
rasulullah dan para nabi saja tidak begitu amat lah kamu siapa hah,0
antara kalau tidak jawa tengah ya jawa timur ajar gus kejawen,1
bang sudah bang,0
tumben tidak ada sound horeg harus kolaborasi plus seni rasuk pas itu <EMOJI_CLAPPING_HANDS>,0
islam nusantara yang maksud nusantara adalah java doang mungkin <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
alesan saya mau gondrong,0
jawa,1
ajar sesat sih ini,0
titis dajal <EMOJI_FIRE>,0
sdm pribumi kok tolol begini ya,1
biar berkah cenah <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
anjir bisa bisa sembah <EMOJI_MOAI>,0
varian air di ludah belum ada kah <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
suriname timur ini mah <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
kaum belakang,1
lah dia sudah tidak mancing lagi kah,0
ini mana pulau mana ya,1
untung saya kristen  emoji smiling face with heart-eyes ,1
bisnis agama modal berapa ya genk kayak tarik jadi kyai,0
dukun yang samar,0
mau heran tapi jawa memang ya jawa tempat kumpul nya ajar sesat,1
salah fokus cewek yang duduk cantik oi <EMOJI_FACE_WITH_OPEN_MOUTH> <EMOJI_FACE_WITH_OPEN_MOUTH>,0
jangan sembah berhala,0
sarung nya bau pesing saja pada doyan sangat nyiumin,0
newcastle united ini memang agak lain <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
mabok agama,0
monyet saja kalau keplak marah jir heran saya sama jawir,1
siapa yang ajar dia seperti itu,0
tebak pulau suddah jelas pasti jawa <EMOJI_MOAI>,1
untung tidak jadi enuw,0
sungkem kok sama gendruwo <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
jawir <EMOJI_MOAI>,1
tebak pakan,0
juru apa ini,0
takut sangat india pindah ke indonesia,1
terlalu rendah sdm kita,1
band metal apa nih,0
terlalu hina untuk tidak hina jawir,1
jawa aneh,1
laku negara maju,1
mak beda server bah beliau <EMOJI_MOAI>,0
nu nih bubarin saja tukang bikin seperti begini,1
tiup tuju surga <EMOJI_WIND_FACE>,0
tebak agama <EMOJI_RAISING_HANDS>,1
yang seperti ini hanya ada di jawa,1
penting sekolah ini mah,0
pantas muhammadiyah lebih maju,1
jatim tidak waras waras dari begini,1
apa sih suku tidak jelas aneh,1
minta doa kok sama odgj <EMOJI_MOAI>,0
jawir jawir,1
jawa kan pantesan,0
daerah jawa wajar,1
ikut pasti orang jawa semua orang jawa harus pintar usir orang seperti begitu,1
konser apa ini,0
aowkaowkaok dongo,0
mulia dua orang tua mu dari orang lain yang bukan darah cium dua tangan dan kaki ibu mu peluk ayah mu karena mereka yang ajar arti hidup salam waras <EMOJI_FOLDED_HANDS_LIGHT_SKIN_TONE> <EMOJI_FLEXED_BICEPS_LIGHT_SKIN_TONE>,0
pantas orang jawa agak agak orang kepala sering tabok begini,1
nabi saja tidak begitu kalau jadi guru <EMOJI_CRYING_FACE>,0
penting sekolah sampai sih seperti pak mapud md,0
plis lah waras dari begini jawa jawa,1
bisnis paling untung jadi habib,0
ndasmu di keplak i ngonoi ra,0
memang mas mas gondrong di jawa begitu semua ya kerja,1
mertua nya lihat menantu nya seperti begitu bagaimana ya <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
biar apa ya biar,0
bukan buhrim nya tidak sih,0
tebak daerah sapa,1
mahaguru,0
kapan lagi ngeplak orang dapat duit <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
jawa main nabi nabi,1
yang seperti begini sudah pasti jawa,1
mau jawa tapi heran <EMOJI_MOAI>,1
seperti di vrindavan <EMOJI_MOAI>,1
gondrong beting <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
pasti dan,1
maaf saya kira yesus <EMOJI_CRYING_FACE>,1
gondrong sad,0
vrindavan cabang indonesia,1
kok tidak ada yang bawa mie rebus atau kopi begitu ya,0
rongsok,0
pasti jawa ini mah <EMOJI_MOAI>,1
makin parah baleng nya,0
ada ada saja laku warga jawir kurang kerja,1
kamu kapai sih jawa astaga,1
jawa islam nu kombinasi sesat yang komplit,1
pasti jawa <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
samsudin deh naik rank anjay,0
vrindavan kah,0
undang ke podcast,0
the real gblok,0
saya kok jadi malu ya padahal tidak kagak ikut tapi lihat malu,0
di india kah ini <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
saya cukur rambut kamu nih <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
di jawa pasti ini,1
nganu lagi nganu lagi,1
qs al baqarah ayat mereka itu yang beli sesat dengan tunjuk maka dagang mereka itu tidak untung dan mereka tidak dapat tunjuk,0
terlalu sih buat main agama tolong jangan bikin pulau kalian lebih hina,1
