comment,label
yang penting gak dicipokk kayak disebelah,0
Bagian cowo di hajar wkwk,0
Apa sih apa sih,0
kok gk sadar ya kalo digoblokin jawa jawa,1
Makin sini makin jahiliah,0
Sakti nya ngalahin sungokong kyanya nih dia,0
Kebayang ga kalo jawir itu negara,1
Elus pipi ya amfun,0
Masi aj di butakan dengan hal seperti itu🗿,0
apaansi sopan bgt njis,0
Jadi pengen bikin sekte,0
tebak pulau @rachman.syah_,1
Kepala di tabok? Bukannya kepala itu di fitrahin ya?,0
maksud gw orang jawa kalo goblok tolong jangan parah parah,1
Jawa kan?,1
Aku jawa tapi ga kek gitu yaa gesss yaaaa😂😂😂😂,0
anak org itu pak jgn asal pukul aj 😮,0
😂😂😂bisa kena tipu 😂😂😂😂😂,0
hadeeeehhhh jawa lagi jawa lagi,1
ini mananya india bang kok kelakuannya sama sama sesat gitu,1
sound gakepake kan itu? gue lempar ya,0
Hilang samsudin.. muncul yg baru🗿,0
Jawa emang beda🤣,1
Jawa?,1
Inisial Mohon di JAwa,1
Lepek bgt rambutnya bang😢,0
lagi main agama agamaan,0
Prindavan series🗿,1
Kayak di India aja wkwkwkkww,1
Hanya di Jiwir,1
Jawa hama gak ada yang gak hama,1
Pasti pulau JAWA.,1
Agama kok jadi gini ya???😢,0
Bnyak bner yg ke gini puyeng,0
Ada lagi aja hadeh,0
Aura nye gelap bener🗿,0
JAWA IRENG @azrilnwstr,1
Aneh nya masih ada yg percaya,0
suku penjual agama,1
Ajaran apa lagi ini,0
padahal islam ngelarang gitu jir masih aja dilakuin,0
diliat doang bisa tau jir baunya mirip india,1
Anjjjj prindapann🤣,1
Berkedok agama,0
Psti jawa,1
Perasaan gampang banget ya di pulau jawa buat jadi habib dan ustad yg di segani bahkan di junjung tinggi seperti orang yang sangat istimewa di dunia,1
Bener2 kek india🗿,1
Pantesan negara kita tertinggal dari negara lain 😂,1
Tebak provinsi ? Please jawa,1
Kurang nya iman yang dalam 😢 SDM sangat Miris 🗿,0
Disamain sama prindapan pada gak mau tapi kelakuan sama 🗿,1
Udah pasti jatim,1
Sama jaman kayak india coming soon bisa berubah ke indianesia nih @imcummingfck,1
🤦🤦🤦🤦 semakin jelas semuanya islam yg sesuai Nabi Muahamad quran dan hadist akn terkikis dan hilang,0
Emg orng kampung gmpang di boongin😂,1
Kaum iq 10,1
Ini daerah mana to persisnya? Modelan kyai dri mana pula?,1
India kah?,1
Kok kayak di india,1
emng paling Joss klo jual agama,0
Laris bener ya sekarang jual agama 🤣,0
Muhrim bukan ?,0
Jual agama untung keras apalagi ke para jawir,1
mabok agama 🗿 jualan agama mulu heran gw,0
kyk gini di sunda juga banyak gasih,1
Kasian liatnya.,0
Laris manis @ydsn,0
SPJ (Sudah Pasti Jawa),1
Si india banyak kaua gini?  Apa bisa dibilang budaya nusantara?  Yang gini bikin negara gak maju lahir batin...,0
Laris banget jualan agama,0
Si cabul jualan jigong aja sukses njir,0
jualan agama di Jatim cuan gede,1
Ter lalu ber lebihan,1
Ya Allah sejauh ini kah agamaku melenceng 😢,0
Kok mirip th sebelah?,1
Belum raja terakhir udh pada tunduk,0
Ketika dukun gak laku lagi akhirnya kayak gini,0
Mirip prindapan,1
Acara apa nih? Dibilang pengajian ko cowo sama cewe jd satu? 👀,0
Klo cewe d elus2 klo cowo d kelepak😢😢,0
Bau rokok samsu,0
Makin banyak orang aneh dunia in,0
Bukan muhrim itu oy,0
Apa ini sang mesias palsu lagi😂,0
Bukannya mondok yg bener malah mondok2n👏👏,0
gondrong doang kaga kramas,0
Dimana lokasinya aku kepengin dimana aku kepengin dimana infokan lokasinya aku kepengin ikutan😍😍😍😍😍😍😍😍😍,0
🗿🗿🗿🗿🗿🗿 tanda akhir zaman,0
kek gini laku banget di jawa,1
Suru baca Al ikhlas aja belum tentu bisa itu,0
Ntah dari pondok pesantren mana beliau belajar nihh 🗿,0
🤣 Zaman ahirrrr Bambang 🤣🤣🤣🤣,0
Makin miris islam sekarang,0
inilah gambaran prindavan kalo prindavan buka cabang,1
hama banget dah jawa,1
pas disuruh selesaikan soal kalkulus... nunduk semua...😂,0
ahh sunda ini mah,1
Ini dimana? Please Jawa,1
Di JAWA enk kali ya jual agama?,1
Maksudnya kek mana woiiii????😶,0
jawaa pasti,1
Madura 🤣,1
Mabuk agama,1
Hati hati mbake😂😂,0
Kadang manusia lebih percaya kepada manusia dan lupa dengan sang cipta,0
Agama di jadikan topeng,0
ini aliran apa sih serius nanya?,0
Kayak nya kehilangan akal dah tu orang,0
Nabi baru itu?🤣,0
Ga beda jauh sama india,1
@bruslyyy._ kalok misal minta tolong tiupin kopi bisa kali ya,0
Pasti di jawa..sarangnya aneh2 ama sesat d situ soalnya,1
Jawa jawa jawaaaaa,1
Jawir klo ga dongo ya jahil 😢,1
Jawa main gus gusan🤣,1
Jualan paling laris d pulau jawa😂,1
Potong rambut curiga bakalan di lelang tuh wkwwk,0
Jawa biasanya,1
Agama baru lagi kah?,0
Ini tahun berapa ya ?,0
banyak bener yg bgini disana,1
🔥 laris manis cuan²,0
Pasti Jawa 🗿,1
Pov sule ketika ga mau ngelawak lagi,0
yg doyan koar jawa agamamu apa?,1
Islam,0
JAWA:JUAL AGAMA,1
Kiblatnya beda,0
Jualan ludah anjir mana laris lgi gw yg dagang sakit sakitan ini apaan cok,0
Ini yang begini ga di tangkep ?,0
aliran opo iki rek hadehhhh🗿,0
NU + JAWA AGUS KONTOL,1
Ada ada ajaa yaa kelakuan jaman skrg wkwkk,0
Emang jawa,1
@_ssassygurl_ mau salim jg katanya,0
Klo g Jatim ya Jateng,1
Yah udah ga usah dijelasin,0
Jawa NU kebiasaan,1
LUDAHIN AJA TU YG KEPLAK PALA,0
Ngajinya kurang jauh ngopii nya kurang kentel FC,0
Miirp kyak user sebelah 🤣,1
untung gw gk JAWA,1
kok mandang fisik sih,0
ini kesempatanku untuk menghina sdm jawaa. JAWAAAAAA,1
Masuknya penistaan agama ga sih?,0
Laku keras tuh jual Gus2an,0
Aku asli jowo tapi ngene men padahal kan bukan muhrim e juohhhhh ngene men jowo😭,1
JAWA ADALAH KUNCI 🤫,1
SDM minus 😂🤣,0
Jawa kalo gk ada islam seperti india kayak nya,1
Aduh Jawa lagi Jawa lagi🗿,1
Oalah kok ada pengikut ini ya,0
SDM rendah kek gini gausah diladenin,0
emang ga ada org gitu satu pun banjur pake kopi,0
Apa si 🗿 ya Allah gamau nebak tapi ini daerah Jatim gak sih😭😭,1
Dibakar halal🔥🔥,0
Yg lebih heran para pengikutnya😭,0
Dukun berkedok agama.. nabi aja gapernah gitu,0
JBA(jual beli agama),0
stoplah habib habib an jawa!,1
Miris sekali SDM kita,0
emng hama Jawa,1
makin gaberes aja😂,0
bisa gasih jawa gk kek gini,1
Heran saya kenapa yg beginian banyak dinjawa,1
Bisa bisanya nyium tangan bau samsu,0
tutor bisnis begini dong. cara ngrintisnya gimana. lumayan buat sampingan jual2 air doa.,0
Bau samsu gak itu,0
bisnis paling menguntungkan,0
Oalah Jawa Jawa,1
ajaran sesat apa ini....ikut ajaran rasulullah bukan ikut ikutan org sebarangan...,0
Yesus lokal😭,1
Jawa 🗿,1
Padahal ini santri apa gak bisa bedakan yang mana asli Ama kagak,0
🗿:Bang aer putih bukan ya??,0
pasti di jawa 😭,1
Bisa bisanya geplakin ga ada yg marah,0
Semakin akhir jaman semakin...............,0
POV ketika gen Z menjadi Gus 🗿,0
kalangan bawah selalu,1
Mau2nya maksudnya apa,0
bolih tengok muke ii bocah yang senang kene tipu 🤣🤣🤣,0
Jualan agama emang paling laris di negeri konoha,1
Ini pasti tidak di JAWA😭,1
Pesantren ku dulu sempet kedatangan salah 1 habib lah dan kita berbondong-bondong cium tangan kaki + berebutan makanan bekas beliau dan Saya sekarang malah  makin gajelas setelah dewasa 😂,0
andai indo gaada jawa nya,1
Mbah dukun baca mantra 😂😂😂,0
Jawa jamet,1
Jawa ini. Udeh lah kgk usah di tutup2in...,1
Tiupin Lahar Gunung Krakatau tolongg,0
Akuuu berlutut?? Chuihh...Tidak akan!!!,0
Ko aku ngakak si😭,0
Inisial pulau Jawa,1
Susah bedain jawa sama prindapan🗿,1
Tebak pulau ngk heran sama yg ad Jawa nya 🤣🤣🤣🤣,1
Saya mewakili orang Jawa ga semua Jawa gitu ya gesya,0
Lebih ngeri sama orang yang mabok agama daripada yang mabok amer euy,0
Jawa norak kampung,1
ini lebih lucu dari pada adul😭,0
Tebak aliran @grdnrmdn_ @ottiilham @zakiimuzahid @tiyopermana2,0
Modelan seperti ini pasti dari Jawa,1
ada yang sukses gak setelah setahun ngamalin apa yang dia omongin?,0
Hama di dalam agama 😢,0
Negeri ini semakin aneh,0
yang kyk gini sudah jelas islam,1
Padahal dia cuman buang upil nya doang tuh di air minum nya😂,0
Antrean minta nomor togel !!! @achid_ahmadi,0
ternyata benar kalau SDM di Konoha rendah..,1
Mirip ketua guild sebelah😭,1
Tiupin saya biar bisa langsung masuk syurga 🤣,0
Agama NU memang seperti ini,1
SUCI BANGET YA DIA KEK NYA?,0
Gakaget SDM indo gampang banget di bodo2 in,1
Pengikutnya pada waras g sih 😭 ya Allah,0
Dia siapa sih? Kayak dukun bentukannya,0
Gini amat umat ISLAM🗿,1
Orang setres di suruh ceramah🗿,0
sangat JAWA sekali,1
Gak beda jauh sama prindavan ini mh. Tebak bau si gondrong???,1
Kenapa pribumi masih banyak yg maaf be*o begini astagfirullah miris,1
kayak gini masih gamau dikatain dasar jawa T0lol,1
Ibu sendiri aja belom tentu kali di cium tanyannya sama anak sendiri=,0
Jawa komtol,1
bego malah salim bukan nye jambak,0
Itulah kenapa pendidikan itu penting 😂,0
Masuk ke Penistaan ga sih klo kyk beginian serius tanya,0
plis tiupin laptop saya biar pemrogramannya jalan,0
Sdm rendah,1
Jawa lagi aja,1
Mau heran tapi jawir,1
LEVEL AGAMANYA SUDAH STACK TINGGI,0
Kirain prindapan doang.... 😂😂😂😂,1
Istiqfar om..mana ada islam begini🗿,0
Sesat ni orang,0
Sangat beruntung dilahirkan dan ber agama dibumi Kalimantan 🔥,0
Tebak apa? Tebak daerah?,1
DUKUN KELUAR KAMAR😂,0
goblok sak wilayahe,1
Itu orang siapa 😂,0
Aneh nya kayak gini mentri agama gak ada turun tangan\,0
Bang udah bang mainan habib habibnya🗿,0
Gak kabib gak pribumi ada aja kelakuan kek gini..,1
Gk sesuai ajaran islam,0
Jangankan cuma menatap memegang pun aku tak berani...🗿 Knapa ?,0
najis liat kelakuan jawir,1
Gini banget cari duit 😂,0
Kok bisa lepas dari RSJ🗿,0
Tebak hayo tebak asalnya dari mana 🗿🗿🗿,1
Ludahnya ada resepnya.,0
Rasulullah dan para Nabi aja gk gt2 amat... Lah lu siapa hah??,0
Antara klo ga Jawa Tengah ya Jawa Timur.. ajaran Gus2 Kejawen..,1
Bangggg udah bang,0
tumben g ada sound horeg. harusnya kolaborasi. plus kesenian kerasukan. pas itu 👏,0
Islam nusantara yg dimaksud nusantara adalah java doang mungkin😂,1
Alesan gw mao gondrong,0
JAWAAAAAA,1
Ajaran sesat si ini,0
Titisan dajall🔥🔥🔥,0
sdm pribumi kok tolol2 gini yak,1
biar berkah cenah😂,0
Njir bisa bisanya disembah🗿,0
Varian air di ludahi belum ada kah 😂,0
Suriname Timur ini mah 😂,1
Kaum terbelakang,1
Lah dia udah gak mancing lagi kah?,0
Ini dimana pulau mana ya,1
Untung gw kristen😍,1
Bisnis agama modalnya berapa ya genk? Keknya menarik jadi kyai,0
Dukun yg menyamar,0
Mau Heran Tp Jawa🤣emang yah Jawa Tempat berkumpul nya ajaran sesat🤣🤣,1
Salfok cewek yang duduk cantik oi 😮😮,0
Jangan menyembah berhala,0
Sarung nya bau Pesing aja pada doyan bgt nyiumin,0
newcastle united ini memang agak laen 😂,1
mabok agama,0
monyet aja kalo dikeplak marah jir heran gw sama jawir,1
Siapa yg ngajarin dia seperti itu,0
Tebak pulau suddah jelas paSti jawa 🗿,1
untung gak jadi enuw,0
Sungkem kq sma gendruwo😂,0
Jawir 🗿,1
Tebak pakan,0
Juru apa ini?,0
takut banget india pindah ke indo,1
Terlalu rendah sdm kita,1
Band metal apaan nih?,0
terlalu hina untuk tidak menghina jawir,1
Jawa aneh,1
Kelakuan negara maju,1
maaakkk bedaaa serverr baaahhh beliauuuu🗿,0
NU nih bubarin aja tukang bikin kyk ginian,1
Tiupan menuju surga🌬️,0
Tebak agama 🙌,1
Yg seperti ini hanya ada di jawa,1
Pentingnya sekolah ini mah,0
Pantes Muhammadiyah lebih maju,1
Jatim gk waras waras dari ginian,1
Apaan sih suku gajelas aneh,1
Minta doa kok sama ODGJ 🗿,0
Jawir jawir,1
Jawa kan pantesan,0
daerah jawa wajar,1
Pengikutnya pasti org jawa semua. Org jawa harus pintar usir orng kek bgtu,1
Konser apa ini?,0
aowkaowkaok dongo,0
Muliakan kedua orang tua mu dr orang lain yg bukan 1 darah.cium kedua tangan dn kaki ibu mu peluk ayah mu karena mereka yg mengajarimu arti hidup. Salam waras 🙏🏻☺️💪🏻,0
pantes orang jawa agak agak orang kepalanya sering ditabok gini,1
Nabi aja ga gitu  kalo jadi guru😢,0
Pentingnya sekolah sampai S3 kayak pak Mapud MD,0
plis lah waras dari ginian jawa jawa,1
Bisnis Paling Menguntungkan Menjadi HABIB,0
@nurmuhamadthohir ndasmu di keplak i ngonoi ra,0
emang mas mas gondrong di jawa gitu semua ya kerjaannya,1
Mertua nya ngeliat menantu nya kaya gitu gmna ya 😂,0
Biar apa? Ya biarin,0
Bukan buhrim nya gak sih,0
tebak daerah sapa,1
Mahaguru,0
Kapan lagi ngeplak orang dapet duit😂,0
jawa main nabi nabian,1
yg kek gini udh pasti jawa☕,1
Mau Jawa tapi heran 🗿,1
Kek di prindavan 🗿🗿🗿,1
Gondrong betingkah 😂,0
Pasti N,1
Maaf saya kira Yesus 😢,1
Gondronggg sesad,0
prindapan cabang indo,1
ko gaada yg bawa mie rebus ato kopi gitu yaa,0
Rongsokkkk,0
Pasti Jawa ini mah🗿,1
makin parah baleng nya,0
ada ada aja kelakuannya warga jawir kurang kerjaan,1
Lu ngapain sih jawaaa astagaaa,1
Jawa Islam NU kombinasi sesat yang komplit,1
Pasti jawa😂,1
samsudin dah naik rank njay,0
Prindavan kah?,0
undang ke podcast,0
The real gblokkk,0
Gw ko jdi malu yaaaa... pdhl ga kaga ikutan tpi liatnya maluu,0
Di india kah ini 😂,1
Gue cukur rambut lu nih😂,0
Di Jawa pasti ini ...?,1
ngaNU lagi ngaNU lagi,1
QS. Al-Baqarah Ayat 16 Mereka itulah yang membeli kesesatan dengan petunjuk. Maka perdagangan mereka itu tidak beruntung dan mereka tidak mendapat petunjuk.,0
keterlaluan sih buat main agamanya tolong jangan bikin pulau kalian lebih hina,1
Dari sini kita belajar. Bahwa pergaulan itu penting.😂,0
Dasar jawa odgj disembah,1
cewe dielus mukanya giliran cowok di keplakk😂😂😂,0
masih ada aja yang kyk gini di jawa,1
Semarang inih Tunjung biru pedurungan markasnyah😂,0
Kejauhan ini ya allah,0
Apakah masyarakat jawa seprimitif ini??,1
Buseeet,0
Kyak ketua guild sbelah,1
Plis jangan goblok wahai kaum mayoritas,1
Guru angkat aku sebagai murid mu🙏,0
dalam hati anjaii gw keren banget coii,0
Serius ada kaya gini?,0
terlalu sesat suku satu ini,1
Agama apa mereka ya.,0
pasti daerah sana kumuh banget orang manusianya aja suka kek ginian,1
Seperti islam tp ini 100% bukan ajaran islam,0
Goblok sekabupaten,1
Malaysia ini mah,1
minimal kalo mau mirip prindavan jangan keterlaluan lah jawir,1
Contoh nabi palsu,0
JAWA = HAMA ADALAH NYATA,1
Prindapan hama🗿,1
Wkwkwk apa lah ini 😂,0
hama kayak gini cuma ada di pulau J ya??,1
Kopiah hitam mewakili bet,0
buat apa sh ges?,0
miris liat orang jawa primitif banget,1
Fakta Masih banyak yg SDM rendah 😢,0
Jawa tolol gondrong dikit disembah,1
Apaan nih? 😢,0
Tu pala kalo dikeplak emak bapaknya sendiri pasti kagak terima,0
Kok ada ?,0
Tebak suku mana ini guyys🗿,1
Emang udah fix agak laen nih suku!,1
Pantes muridnya gituu,0
yang begini bikin orang hina jawa terus,1
Sebarkan,0
aneh aneh orang sono yak,1
Cewe di elus giliran yg cowo ditabokin😂,0
Ngeliat dia nyentuh tangan cewe aja udah aneh... Kan bukan muhrim,0
sudah jelas di jawa yang kyk gini,1
GAK JELAS!,0
Prindavan ngapain  kali kesini - sini hadeeh ngerusak doang😂😂,1
Jualan paling laris adalah jualan ?,0
khurafat lg nyata.. yg aneh2 di Indonesia,1
Aneh2 jawa,1
Astagfirulloh 😢😢,0
Ini di dunia goib..bukan di bumi ya gays,0
Yg jelas Newcastle united 😂,1
Bisnis paling menguntungkan yaitu jual agama ☠️🗿,0
jual agama di jawa laris manis,1
Anehhh 🗿-,0
